objectid,state,location,title,latitude,longitude,status,display_template,object_location,notes
crawford,Mississippi,Benton,Crawford ,34°46'06''N,89°06'17''W,Removed,record,,
crosby,Mississippi,Wilkinson,Crosby ,31°12'45''N,91°17'14''W,Removed,record,,
crystal-springs,Mississippi,Copiah ,Crystal Springs ,32°00'00''N,90°19'56''W,Removed,record,,
deerbrook,Mississippi,Noxubee,Deerbrook ,33°13'27''N,88°24'07''W,Removed,record,,
denmark,Mississippi,Lafayette,Denmark ,34°21'40''N,89°19'20''W,Removed,record,,
dennis,Mississippi,Tishomingo,Dennis ,34°33'59''N,88°13'17''W,Removed,record,,
dixon,Mississippi,Neshoba,Dixon,32°40'33''N,89°15'06''W,Removed,record,,
doloroso,Mississippi,Wilkinson,Doloroso ,31°18'24''N,91°19'26''W,Removed,record,,
eastport,Mississippi,Tishomingo,Eastport ,34°53'11''N,88°07'12''W,Removed,record,,
eden,Mississippi,Yazoo,Eden ,32°57'40''N,90°19'00''W,Removed,record,,
elico,Mississippi,Jackson,Elico ,30°39'04''N,88°46'13''W,Removed,record,,
elliott,Mississippi,Grenada,Elliott,33°41'08''N,89°57'11''W,Removed,record,,
emory,Mississippi,Carroll,Emory,33°15'20''N,89°53'31''W,Removed,record,,
enterprise,Mississippi,Clarke,Enterprise ,32°07'53''N,88°51'18''W,Removed,record,,
enterprise-1,Mississippi,Clarke,Enterprise 1 ,32°10'09''N,88°51'04''W,Removed,record,,
errata,Mississippi,Jones,Errata ,31°45'49''N,89°03'33''W,Removed,record,,
fair,Mississippi,Winston,Fair,33°03'10''N,88°51'27''W,Removed,record,,
fannin,Mississippi,Rankin,Fannin,32°25'34''N,89°57'09''W,Removed,record,,
flintkote,Mississippi,Kemper,Flintkote,32°55'19''N,88°38'34''W,Removed,record,,
forkville,Mississippi,Scott,Forkville,32°31'19''N,89°38'22''W,Removed,record,,
franklin,Mississippi,Franklin,Franklin ,31°28'48''N,90°59'16''W,Removed,record,,
glading,Mississippi,Amite,Glading ,31°09'32''N,90°35'27''W,Removed,record,,
hamilton,Mississippi,Calhoun,Hamilton ,33°49'27''N,89°13'28''W,Removed,record,,
harrisville,Mississippi,Simpson,Harrisville ,31°55'39''N,90°06'01''W,Removed,record,,
hazlehurst,Mississippi,Copiah,Hazlehurst ,31°49'11''N,90°26'47''W,Removed,record,,
heidelberg,Mississippi,Jasper,Heidelberg ,31°54'06''N,88°55'04''W,Removed,record,,
heidelberg,Mississippi,Jasper,Heidelberg ,31°53'12''N,89°02'29''W,Removed,record,,
helena,Mississippi,Jackson,Helena,30°30'49''N,88°29'55''W,Removed,record,,
heucks,Mississippi,Lincoln,Heucks ,31°36'46''N,90°18'15''W,Removed,record,,
hickman,Mississippi,Stone,Hickman ,30°43'58''N,89°15'46''W,Removed,record,,
hiwannee,Mississippi,Wayne,Hiwannee ,31°47'46''N,88°37'52''W,Removed,record,,
holder,Mississippi,Jasper,Holder ,31°58'00''N,89°10'12''W,Removed,record,,
hurley,Mississippi,Jackson,Hurley ,30°39'39''N,88°30'01''W,Removed,record,,
improve,Mississippi,Marion,Improve,31°21'55''N,89°43'33''W,Removed,record,,
jasper,Mississippi,Jasper,Jasper ,32°06'01''N,89°03'02''W,Removed,record,,
jeff-davis,Mississippi,Warren,Jeff Davis ,32°12'09''N,90°52'33''W,Removed,record,,
jefferson-davis,Mississippi,Jefferson Davis,Jefferson Davis ,31°32'18''N,89°48'04''W,Removed,record,,
kennedy,Mississippi,Simpson,Kennedy,32°00'29''N,89°45'26''W,Removed,record,,
knoxville,Mississippi,Franklin,Knoxville ,31°23'36''N,91°03'19''W,Removed,record,,
lacy,Mississippi,Pearl River,Lacy,30°38'05''N,89°39'11''W,Removed,record,,
lake-lowndes,Mississippi,Lowndes,Lake Lowndes ,33°24'17''N,88°19'04''W,Removed,record,,
latimer,Mississippi,Jackson,Latimer ,30°32'04''N,88°51'33''W,Removed,record,,
leaf,Mississippi,Perry,Leaf ,31°00'27''N,88°50'44''W,Removed,record,,
leakesville,Mississippi,Greene,Leakesville ,31°10'29''N,88°35'56''W,Removed,record,,
lee,Mississippi,Stone,Lee ,30°51'32''N,89°20'17''W,Removed,record,,
leesdale,Mississippi,Adams,Leesdale ,31°28'34''N,91°10'03''W,Removed,record,,
lincoln,Mississippi,Lincoln,Lincoln ,31°31'46''N,90°32'04''W,Removed,record,,
lodi,Mississippi,Webster,Lodi ,33°32'49''N,89°26'54''W,Removed,record,,
lone-pine,Mississippi,Forrest,Lone Pine,31°10'16''N,89°09'10''W,Removed,record,,
lorman,Mississippi,Jefferson,Lorman,31°50'49''N,91°06'08''W,Removed,record,,
louin,Mississippi,Jasper,Louin ,32°05'07''N,89°15'00''W,Removed,record,,
louise,Mississippi,Humphreys,Louise ,33°00'50''N,90°34'57''W,Removed,record,,
luce,Mississippi,George,Luce,30°57'14''N,88°29'17''W,Removed,record,,
madison,Mississippi,Madison,Madison,32°28'00''N,90°10'36''W,Removed,record,,
marietta,Mississippi,Prentiss,Marietta ,34°32'17''N,88°29'51''W,Removed,record,,
marion,Mississippi,Lauderdale,Marion ,32°26'28''N,88°40'47''W,Removed,record,,
maxie,Mississippi,Forrest,Maxie ,30°57'15''N,89°11'19''W,Removed,record,,
mccower,Mississippi,Lowndes,McCower ,33°20'34''N,88°32'19''W,Removed,record,,
mchenry,Mississippi,Itawamba,McHenry ,34°11'51''N,88°27'26''W,Removed,record,,
mchenry,Mississippi,Stone,McHenry ,30°43'37''N,89°08'40''W,Removed,record,,
mcnair,Mississippi,Jefferson,McNair ,31°39'50''N,90°58'56''W,Removed,record,,
meridian,Mississippi,Lauderdale,Meridian ,32°19'41''N,88°42'28''W,Removed,record,,
millard,Mississippi,Pearl River,Millard ,30°43'29''N,89°35'58''W,Removed,record,,
mize,Mississippi,Smith,Mize ,31°51'04''N,89°33'53''W,Removed,record,,
mize,Mississippi,Smith,Mize ,31°48'45''N,89°35'17''W,Removed,record,,
mize,Mississippi,Smith,Mize ,31°51'04''N,89°33'52''W,Removed,record,,
monterey,Mississippi,Rankin,Monterey ,32°11'08''N,90°04'56''W,Removed,record,,
montgomery,Mississippi,Montgomery,Montgomery ,33°32'55''N,89°38'13''W,Removed,record,,
morton,Mississippi,Scott,Morton ,32°22'38''N,89°39'20''W,Removed,record,,
moselle,Mississippi,Jones,Moselle ,31°32'53''N,89°15'15''W,Removed,record,,
myrtle,Mississippi,Union,Myrtle ,34°34'51''N,89°10'06''W,Removed,record,,
nanih-waiya,Mississippi,Winston,Nanih Waiya ,32°56'43''N,88°50'16''W,Removed,record,,
necaise,Mississippi,Hancock,Necaise ,30°36'35''N,89°24'27''W,Removed,record,,
nesbitt,Mississippi,DeSoto,Nesbitt,34°54'16''N,89°59'05''W,Removed,record,,
oak-ridge,Mississippi,Warren,Oak Ridge ,32°26'51''N,90°44'47''W,Removed,record,,
oakland,Mississippi,Tallahatchie,Oakland,34°02'51''N,89°57'33''W,Removed,record,,
oloh,Mississippi,Lamar,Oloh ,31°17'30''N,89°34'16''W,Removed,record,,
parker,Mississippi,George,Parker ,30°49'05''N,88°33'36''W,Removed,record,,
paulding,Mississippi,Jasper,Paulding,32°02'11''N,89°02'32''W,Removed,record,,
paulette,Mississippi,Noxubee,Paulette ,33°01'00''N,88°24'02''W,Removed,record,,
petal,Mississippi,Forrest,Petal ,31°22'55''N,89°10'39''W,Removed,record,,
pine-mountain,Mississippi,Alcorn,Pine Mountain ,34°53'42''N,88°44'02''W,Removed,record,,
pineburr,Mississippi,Marion,Pineburr ,31°07'21''N,89°40'01''W,Removed,record,,
piney-woods,Mississippi,Wayne,Piney Woods ,31°28'01''N,88°44'33''W,Removed,record,,
pinola,Mississippi,Simpson,Pinola,31°52'23''N,89°57'18''W,Removed,record,,
pisgah,Mississippi,Greene,Pisgah ,31°06'37''N,88°29'34''W,Removed,record,,
pleasant-hill,Mississippi,Copiah,Pleasant Hill ,31°44'16''N,90°41'46''W,Removed,record,,
pleasant-ridge,Mississippi,Jones,Pleasant Ridge ,31°40'30''N,89°14'55''W,Removed,record,,
point-laurel,Mississippi,Jones,Point Laurel ,31°36'12''N,89°02'27''W,Removed,record,,
post,Mississippi,Lauderdale,Post ,32°31'13''N,88°52'28''W,Removed,record,,
prentiss,Mississippi,Prentiss,Prentiss ,34°42'43''N,88°39'48''W,Removed,record,,
quentiin,Mississippi,Franklin,Quentiin ,31°32'23''N,90°44'24''W,Removed,record,,
quitman,Mississippi,Clarke,Quitman ,32°02'26''N,88°42'21''W,Removed,record,,
raleigh,Mississippi,Smith,Raleigh ,32°01'03''N,89°30'55''W,Removed,record,,
ramsay,Mississippi,Jackson,Ramsay,30°32'39''N,88°46'40''W,Removed,record,,
red-creek,Mississippi,Pearl River,Red Creek,30°55'58''N,89°22'35''W,Removed,record,,
red-rock,Mississippi,Sharkey,Red Rock,32°48'50''N,90°46'22''W,Removed,record,,
remus,Mississippi,Leake,Remus ,32°52'44''N,89°20'51''W,Removed,record,,
rider,Mississippi,Yalobusha,Rider,34°07'17''N,89°42'01''W,Removed,record,,
rock-hill,Mississippi,Forrest,Rock Hill ,31°04'59''N,89°18'33''W,Removed,record,,
rock-hill,Mississippi,Simpson,Rock Hill ,32°01'58''N,90°08'08''W,Removed,record,,
rockhill,Mississippi,Oktibbeha,Rockhill ,33°32'34''N,88°46'55''W,Removed,record,,
rosebloom,Mississippi,Tallahatchie,Rosebloom ,33°52'40''N,89°56'17''W,Removed,record,,
ruth,Mississippi,Lincoln,Ruth ,31°23'31''N,90°17'30''W,Removed,record,,
saint-ann,Mississippi,Leake,Saint Ann ,32°47'21''N,89°39'41''W,Removed,record,,
salem,Mississippi,Walthall,Salem ,31°16'08''N,90°09'38''W,Removed,record,,
sallis,Mississippi,Attala,Sallis ,32°58'18''N,89°49'41''W,Removed,record,,
sanford,Mississippi,Covington,Sanford ,31°30'13''N,89°29'20''W,Removed,record,,
saratoga,Mississippi,Simpson,Saratoga,31°48'08''N,89°43'03''W,Removed,record,,
scales,Mississippi,Marshall,Scales ,34°46'59''N,89°18'52''W,Removed,record,,
sellers,Mississippi,Hancock,Sellers,30°36'15''N,89°22'40''W,Removed,record,,
shiloh,Mississippi,Marshall,Shiloh ,34°38'14''N,89°34'12''W,Removed,record,,
shipman,Mississippi,George,Shipman ,30°52'25''N,88°30'52''W,Removed,record,,
shivers,Mississippi,Simpson,Shivers ,31°49'02''N,90°01'07''W,Removed,record,,
smith,Mississippi,Harrison,Smith,30°25'39''N,89°16'06''W,Removed,record,,
snell,Mississippi,Clarke,Snell ,32°08'52''N,88°29'00''W,Removed,record,,
spring,Mississippi,Rankin,Spring ,32°27'57''N,89°54'12''W,Removed,record,,
spring-hill,Mississippi,Pearl River,Spring Hill,30°56'12''N,89°33'09''W,Removed,record,,
state-line,Mississippi,Greene,State Line ,31°24'56''N,88°28'52''W,Removed,record,,
steele,Mississippi,Scott,Steele,32°30'16''N,89°24'38''W,Removed,record,,
stephenson,Mississippi,Amite,Stephenson ,31°16'14''N,90°59'34''W,Removed,record,,
stony,Mississippi,Greene,Stony ,31°23'26''N,88°40'00''W,Removed,record,,
sylvarena,Mississippi,Smith,Sylvarena ,32°04'09''N,89°24'36''W,Removed,record,,
tamola,Mississippi,Lauderdale,Tamola ,32°30'50''N,88°27'32''W,Removed,record,,
taylorsville,Mississippi,Smith,Taylorsville ,31°54'39''N,89°21'32''W,Removed,record,,
tiger-creek,Mississippi,Jones,Tiger Creek ,31°27'08''N,88°58'08''W,Removed,record,,
tillman,Mississippi,Lauderdale,Tillman,32°17'14''N,88°49'27''W,Removed,record,,
tombigbee,Mississippi,Winston,Tombigbee ,33°16'06''N,89°05'23''W,Removed,record,,
troy,Mississippi,Pontotoc,Troy ,34°07'51''N,88°57'24''W,Removed,record,,
unknown,Mississippi,Harrison,Unknown,30°30'52''N,89°16'40''W,Removed,record,,
unknown,Mississippi,Pearl River,Unknown,30°50'52''N,89°24'15''W,Removed,record,,
verona,Mississippi,Lee,Verona ,34°13'05''N,88°43'53''W,Removed,record,,
wayne,Mississippi,Wayne,Wayne ,31°37'56''N,88°39'46''W,Removed,record,,
weir,Mississippi,Choctaw,Weir ,33°18'13''N,89°20'11''W,Removed,record,,
westonia,Mississippi,Hancock,Westonia ,30°18'04''N,89°34'50''W,Removed,record,,
whistler,Mississippi,Wayne,Whistler ,31°44'12''N,88°50'13''W,Removed,record,,
wilbe,Mississippi,Stone,Wilbe ,30°51'47''N,88°59'41''W,Removed,record,,
woodville,Mississippi,Wilkinson,Woodville ,31°05'32''N,91°13'57''W,Removed,record,,
yocona,Mississippi,Pontotoc,Yocona,34°15'01''N,89°10'51''W,Removed,record,,
county-line,Mississippi,Neshoba,County Line,32°35'17''N,89°04'35''W,Removed,record,,
green,Mississippi,Greene,Green ,31°13'04''N,88°42'09''W,Removed,record,,
greens-creek,Mississippi,Jefferson Davis,Greens Creek ,31°29'42''N,89°51'02''W,Removed,record,,
moscow,Mississippi,Kemper,Moscow,32°41'23''N,88°50'13''W,Removed,record,,
unknown,Mississippi,Perry,Unknown,31°06'54''N,89°04'32''W,Removed,record,,
unknown,Mississippi,Perry,Unknown,31°07'19''N,89°04'33''W,Removed,record,,
