objectid,state,county,title,latitude,longitude,status,display_template,object_location,notes
de-kalb2,Mississippi,Kemper,De Kalb ,32.7475,-88.65388889,Standing,record,,
harrison,Mississippi,Harrison,Harrison ,30.55805556,-89.04916667,Standing,record,,
hilda,Mississippi,Jackson,Hilda,30.43083333,-88.65333333,Standing,record,,
lafayette,Mississippi,Lafayette,Lafayette ,34.32722222,-89.57916667,Standing,record,,
pearlington,Mississippi,Hancock,Pearlington ,30.26416667,-89.61666667,Standing,record,,
rocky-hill,Mississippi,Hancock,Rocky Hill ,30.45111111,-89.45388889,Standing,record,,
rose-hill,Mississippi,Pike,Rose Hill,31.10972222,-90.335,Standing,record,,
stone,Mississippi,Stone,Stone ,30.84944444,-89.03388889,Standing,record,,
tylertown,Mississippi,Walthall,Tylertown ,31.07611111,-90.03555556,Standing,record,,
willows,Mississippi,Claiborne,Willows,32.04,-90.88833333,Standing,record,,
arkabutla,Mississippi,Tate,Arkabutla ,34.675,-90.19666667,Removed,record,https://flic.kr/s/aHBqjzC5oM,
central,Mississippi,George,Central ,30.905,-88.66777778,Removed,record,,
lee-lee,Mississippi,Lee,Lee ,34.36527778,-88.6075,Removed,record,https://flic.kr/s/aHBqjzBr6B,
tishomingo,Mississippi,Tishomingo,Tishomingo ,34.7875,-88.24166667,Removed,record,https://flic.kr/s/aHBqjzGwMu,
university,Mississippi,Stone,University ,30.73277778,-88.91166667,Removed,record,,
aldarge,Mississippi,Benton,Aldarge,34.91694444,-89.24666667,Removed,record,,
bagley,Mississippi,Lafayette,Bagley ,34.50388889,-89.43777778,Removed,record,,
banner,Mississippi,Calhoun,Banner ,34.11833333,-89.385,Removed,record,,
batesville,Mississippi,Panola,Batesville,34.30944444,-89.91138889,Removed,record,,
baxter,Mississippi,Jasper,Baxter ,32.19472222,-89.17361111,Removed,record,,
beaumont,Mississippi,Perry,Beaumont ,31.13388889,-88.91666667,Removed,record,,
belzoni,Mississippi,Humphreys,Belzoni ,33.13916667,-90.51666667,Removed,record,,
benndale1,Mississippi,George,Benndale ,30.87027778,-88.80916667,Removed,record,,
benndale2,Mississippi,George,Benndale ,30.89361111,-88.835,Removed,record,,
benton,Mississippi,Benton,Benton ,34.95222222,-89.0325,Removed,record,,
betheden,Mississippi,Winston,Betheden ,33.22222222,-88.94138889,Removed,record,,
big-creek,Mississippi,Wayne,Big Creek,31.6,-88.75972222,Removed,record,,
